#,Date_Time,Temp,mV,pH_NBS,pH_T
1,5/2/2022 19:16,25.42,185.82,3.64,3.631
2,5/2/2022 20:16,25.29,185.97,3.64,3.631
3,5/2/2022 21:16,25.2,185.85,3.64,3.631
4,5/2/2022 22:16,25.29,185.79,3.64,3.631
5,5/2/2022 23:16,25.1,185.74,3.64,3.631
6,6/2/2022 0:16,24.86,185.71,3.64,3.631
7,6/2/2022 1:16,24.71,185.6,3.64,3.631
8,6/2/2022 2:16,24.64,185.54,3.64,3.631
9,6/2/2022 3:16,24.93,185.49,3.64,3.631
10,6/2/2022 4:16,25.32,185.46,3.65,3.641
11,6/2/2022 5:16,25.76,185.41,3.65,3.641
12,6/2/2022 6:16,25.88,185.46,3.65,3.641
13,6/2/2022 7:16,25.88,185.52,3.65,3.641
14,6/2/2022 8:16,26.1,185.44,3.66,3.651
15,6/2/2022 9:16,26.22,185.49,3.66,3.651
16,6/2/2022 10:16,26.19,185.54,3.66,3.651
17,6/2/2022 11:16,25.95,185.57,3.65,3.641
18,6/2/2022 12:16,25.78,185.6,3.65,3.641
19,6/2/2022 13:16,25.9,185.6,3.65,3.641
20,6/2/2022 14:16,26.71,185.47,3.66,3.651
21,6/2/2022 15:16,27.74,185.44,3.67,3.661
22,6/2/2022 16:16,28.43,185.58,3.68,3.671
23,6/2/2022 17:16,28.28,185.76,3.68,3.671
24,6/2/2022 18:16,28.01,185.9,3.67,3.661
25,6/2/2022 19:16,28.04,185.97,3.67,3.661
26,6/2/2022 20:16,28.18,186.04,3.67,3.661
27,6/2/2022 21:16,28.33,186.1,3.67,3.661
28,6/2/2022 22:16,28.43,186.16,3.67,3.661
29,6/2/2022 23:16,28.46,186.22,3.67,3.661
30,7/2/2022 0:16,28.38,186.27,3.67,3.661
31,7/2/2022 1:16,28.26,186.3,3.67,3.661
32,7/2/2022 2:16,28.09,186.33,3.66,3.651
33,7/2/2022 3:16,27.89,186.35,3.66,3.651
34,7/2/2022 4:16,27.69,186.37,3.66,3.651
35,7/2/2022 5:16,27.47,186.35,3.66,3.651
36,7/2/2022 6:16,27.27,186.32,3.65,3.641
37,7/2/2022 7:16,27.1,186.29,3.65,3.641
38,7/2/2022 8:16,26.98,186.24,3.65,3.641
39,7/2/2022 9:16,26.66,186.15,3.65,3.641
40,7/2/2022 10:16,26.41,186.05,3.65,3.641
41,7/2/2022 11:16,26.56,185.97,3.65,3.641
42,7/2/2022 12:16,27.03,185.91,3.66,3.651
43,7/2/2022 13:16,27.62,185.85,3.67,3.661
44,7/2/2022 14:16,28.11,185.85,3.67,3.661
45,7/2/2022 15:16,28.56,185.88,3.68,3.671
46,7/2/2022 16:16,29.05,185.93,3.68,3.671
47,7/2/2022 17:16,29.43,186.02,3.68,3.671
48,7/2/2022 18:16,29.3,186.15,3.68,3.671
49,7/2/2022 19:16,29.25,186.24,3.68,3.671
50,7/2/2022 20:16,29.23,186.32,3.68,3.671
51,7/2/2022 21:16,29.2,186.4,3.67,3.661
52,7/2/2022 22:16,29.15,186.44,3.67,3.661
53,7/2/2022 23:16,29.08,186.49,3.67,3.661
54,8/2/2022 0:16,28.98,186.52,3.67,3.661
55,8/2/2022 1:16,28.85,186.55,3.67,3.661
56,8/2/2022 2:16,28.71,186.57,3.67,3.661
57,8/2/2022 3:16,28.53,186.57,3.66,3.651
58,8/2/2022 4:16,28.28,186.55,3.66,3.651
59,8/2/2022 5:16,28.01,186.52,3.66,3.651
60,8/2/2022 6:16,27.74,186.46,3.66,3.651
61,8/2/2022 7:16,27.49,186.37,3.66,3.651
62,8/2/2022 8:16,27.37,186.26,3.66,3.651
63,8/2/2022 9:16,27.49,186.16,3.66,3.651
64,8/2/2022 10:16,28.04,186.08,3.67,3.661
65,8/2/2022 11:16,28.8,185.99,3.68,3.671
66,8/2/2022 12:16,29.7,185.96,3.69,3.681
67,8/2/2022 13:16,30.69,186.12,3.7,3.691
68,8/2/2022 14:16,31.7,186.4,3.7,3.691
69,8/2/2022 15:16,32.71,186.77,3.71,3.701
70,8/2/2022 16:16,33.67,187.15,3.71,3.701
71,8/2/2022 17:16,34.14,187.51,3.71,3.701
72,8/2/2022 18:16,34.32,187.76,3.71,3.701
73,8/2/2022 19:16,34.24,187.93,3.7,3.691
74,8/2/2022 20:16,33.25,188.05,3.69,3.681
75,8/2/2022 21:16,32.11,187.96,3.68,3.671
76,8/2/2022 22:16,31.17,187.82,3.67,3.661
77,8/2/2022 23:16,30.36,187.62,3.67,3.661
78,9/2/2022 0:16,29.7,187.38,3.66,3.651
79,9/2/2022 1:16,29.13,187.12,3.66,3.651
80,9/2/2022 2:16,28.68,186.85,3.66,3.651
81,9/2/2022 3:16,28.31,186.62,3.66,3.651
82,9/2/2022 4:16,27.96,186.4,3.66,3.651
83,9/2/2022 5:16,27.69,186.22,3.66,3.651
84,9/2/2022 6:16,27.42,186.07,3.66,3.651
85,9/2/2022 7:16,27.94,185.87,3.67,3.661
86,9/2/2022 8:16,28.95,185.79,3.68,3.671
87,9/2/2022 9:16,28.31,185.99,3.67,3.661
88,9/2/2022 10:16,28.63,-6.34,6.96,6.951
89,9/2/2022 11:16,28.01,-26.13,7.3,7.291
90,9/2/2022 12:16,28.83,-26.83,7.31,7.301
91,9/2/2022 13:16,29.45,-26.03,7.3,7.291
92,9/2/2022 14:16,30.23,-33.16,7.42,7.411
93,9/2/2022 15:16,30.84,-43.99,7.6,7.591
94,9/2/2022 16:16,31.65,-56.95,7.82,7.811
95,9/2/2022 17:16,31.93,-63.81,7.93,7.921
96,9/2/2022 18:16,31.09,-53.66,7.76,7.751
97,9/2/2022 19:16,30.71,-46.86,7.65,7.641
98,9/2/2022 20:16,30,-34.33,7.44,7.431
99,9/2/2022 21:16,29.23,-23.02,7.24,7.231
100,9/2/2022 22:16,28.48,-20.41,7.2,7.191
101,9/2/2022 23:16,26.68,-20.55,7.2,7.191
102,10/2/2022 0:16,25.59,-13.36,7.08,7.071
103,10/2/2022 1:16,25.15,-17.42,7.15,7.141
104,10/2/2022 2:16,27.08,-27.97,7.33,7.321
105,10/2/2022 3:16,28.21,-35.72,7.46,7.451
106,10/2/2022 4:16,28.9,-64.64,7.96,7.951
107,10/2/2022 5:16,28.85,-64.61,7.95,7.941
108,10/2/2022 6:16,28.75,-62.55,7.92,7.911
109,10/2/2022 7:16,28.71,-51.95,7.74,7.731
110,10/2/2022 8:16,28.43,-42.2,7.57,7.561
111,10/2/2022 9:16,28.31,-38.81,7.52,7.511
112,10/2/2022 10:16,28.63,-40.24,7.54,7.531
113,10/2/2022 11:16,28.75,-30.02,7.36,7.351
114,10/2/2022 12:16,29.08,-23.52,7.25,7.241
115,10/2/2022 13:16,29.78,-22.92,7.24,7.231
116,10/2/2022 14:16,31.27,-26.81,7.31,7.301
117,10/2/2022 15:16,31.91,-36.95,7.48,7.471
118,10/2/2022 16:16,32.71,-50.67,7.71,7.701
119,10/2/2022 17:16,31.96,-65.47,7.96,7.951
120,10/2/2022 18:16,31.65,-64.03,7.94,7.931
121,10/2/2022 19:16,31.42,-60.35,7.87,7.861
