#,Date_Time,Temp,mV,pH_NBS,pH_T
1,5/2/2022 19:23,25.37,185.88,3.64,3.631
2,5/2/2022 20:23,25.2,185.99,3.64,3.631
3,5/2/2022 21:23,25.22,185.88,3.64,3.631
4,5/2/2022 22:23,25.22,185.91,3.64,3.631
5,5/2/2022 23:23,24.67,185.91,3.63,3.621
6,6/2/2022 0:23,24.28,185.74,3.63,3.621
7,6/2/2022 1:23,24.01,185.55,3.63,3.621
8,6/2/2022 2:23,24.04,185.38,3.63,3.621
9,6/2/2022 3:23,24.28,185.3,3.64,3.631
10,6/2/2022 4:23,24.86,185.22,3.65,3.641
11,6/2/2022 5:23,25.39,185.19,3.65,3.641
12,6/2/2022 6:23,25.56,185.22,3.65,3.641
13,6/2/2022 7:23,25.83,185.3,3.65,3.641
14,6/2/2022 8:23,26.22,185.32,3.66,3.651
15,6/2/2022 9:23,26.24,185.38,3.66,3.651
16,6/2/2022 10:23,26.07,185.46,3.65,3.641
17,6/2/2022 11:23,25.73,185.52,3.65,3.641
18,6/2/2022 12:23,25.73,185.57,3.65,3.641
19,6/2/2022 13:23,26.61,185.54,3.66,3.651
20,6/2/2022 14:23,27.91,185.68,3.67,3.661
21,6/2/2022 15:23,28.93,186.01,3.68,3.671
22,6/2/2022 16:23,29.05,186.19,3.68,3.671
23,6/2/2022 17:23,28.43,186.26,3.67,3.661
24,6/2/2022 18:23,28.23,186.35,3.66,3.651
25,6/2/2022 19:23,28.33,186.4,3.66,3.651
26,6/2/2022 20:23,28.43,186.43,3.66,3.651
27,6/2/2022 21:23,28.53,186.47,3.66,3.651
28,6/2/2022 22:23,28.53,186.51,3.66,3.651
29,6/2/2022 23:23,28.48,186.54,3.66,3.651
30,7/2/2022 0:23,28.36,186.55,3.66,3.651
31,7/2/2022 1:23,28.18,186.55,3.66,3.651
32,7/2/2022 2:23,27.96,186.54,3.66,3.651
33,7/2/2022 3:23,27.74,186.52,3.65,3.641
