#,Date_Time,Temp,pH_NBS,pH_T,Tide,Light
6150,20/10/2022 0:16,27.17,7.78,7.771,0.8,Night
6151,20/10/2022 1:16,26.27,7.91,7.901,0.8,Night
6152,20/10/2022 2:16,25.73,7.92,7.911,0.9,Night
6153,20/10/2022 3:16,25.78,7.93,7.921,1.2,Night
6154,20/10/2022 4:16,27.32,7.76,7.751,1.4,Night
6155,20/10/2022 5:16,27.35,8.02,8.011,1.6,Day
6156,20/10/2022 6:16,27.32,8.07,8.061,1.7,Day
6157,20/10/2022 7:16,27.37,8.06,8.051,1.6,Day
6158,20/10/2022 8:16,27.32,7.96,7.951,1.5,Day
6159,20/10/2022 9:16,27.54,7.75,7.741,1.2,Day
6160,20/10/2022 10:16,28.63,7.63,7.621,1,Day
6161,20/10/2022 11:16,34.14,7.85,7.841,0.8,Day
6162,20/10/2022 12:16,34.59,7.63,7.621,0.8,Day
6163,20/10/2022 13:16,39.03,6.77,6.761,0.8,Day
6164,20/10/2022 14:16,37.77,6.24,6.231,1.1,Day
6165,20/10/2022 15:16,29.7,8.27,8.261,1.4,Day
6166,20/10/2022 16:16,28.41,8.21,8.201,1.9,Day
6167,20/10/2022 17:16,28.18,8.19,8.181,2.1,Day
6168,20/10/2022 18:16,28.09,8.18,8.171,2.3,Day
6169,20/10/2022 19:16,28.09,8.15,8.141,2.2,Night
6170,20/10/2022 20:16,28.23,8.12,8.111,2.1,Night
6171,20/10/2022 21:16,28.58,8.07,8.061,1.7,Night
6172,20/10/2022 22:16,29.28,7.96,7.951,1.4,Night
6173,20/10/2022 23:16,29.45,7.71,7.701,1,Night
6174,21/10/2022 0:16,28.85,7.58,7.571,0.8,Night
6175,21/10/2022 1:16,26.32,7.89,7.881,0.8,Night
6176,21/10/2022 2:16,25.78,7.9,7.891,0.9,Night
6177,21/10/2022 3:16,25.32,7.92,7.911,1.2,Night
6178,21/10/2022 4:16,27.81,7.71,7.701,1.4,Night
6179,21/10/2022 5:16,27.54,8.06,8.051,1.6,Night
6180,21/10/2022 6:16,27.49,8.11,8.101,1.7,Day
6181,21/10/2022 7:16,27.59,8.12,8.111,1.6,Day
6182,21/10/2022 8:16,27.52,8.07,8.061,1.5,Day
6183,21/10/2022 9:16,27.57,7.87,7.861,1.2,Day
6184,21/10/2022 10:16,28.06,7.67,7.661,1,Day
6185,21/10/2022 11:16,28.8,7.72,7.711,0.8,Day
6186,21/10/2022 12:16,27.94,8.3,8.291,0.8,Day
