#,Date_Time,Temp,pH_NBS,pH_T,Tide,Light
6150,20/10/2022 0:23,27.42,8.05,8.041,0.8,Night
6151,20/10/2022 1:23,27.42,8.05,8.041,0.8,Night
6152,20/10/2022 2:23,27.42,8.05,8.041,0.9,Night
6153,20/10/2022 3:23,27.42,8.04,8.031,1.2,Night
6154,20/10/2022 4:23,27.42,8.06,8.051,1.4,Night
6155,20/10/2022 5:23,27.42,8.07,8.061,1.6,Day
6156,20/10/2022 6:23,27.4,8.08,8.071,1.7,Day
6157,20/10/2022 7:23,27.42,8.12,8.111,1.6,Day
6158,20/10/2022 8:23,27.49,8.15,8.141,1.5,Day
6159,20/10/2022 9:23,27.59,8.18,8.171,1.2,Day
6160,20/10/2022 10:23,27.94,8.23,8.221,1,Day
6161,20/10/2022 11:23,27.91,8.28,8.271,0.8,Day
6162,20/10/2022 12:23,28.01,8.29,8.281,0.8,Day
6163,20/10/2022 13:23,27.89,8.32,8.311,0.8,Day
6164,20/10/2022 14:23,27.89,8.29,8.281,1.1,Day
6165,20/10/2022 15:23,28.21,8.25,8.241,1.4,Day
6166,20/10/2022 16:23,28.13,8.17,8.161,1.9,Day
6167,20/10/2022 17:23,28.01,8.17,8.161,2.1,Day
6168,20/10/2022 18:23,27.84,8.15,8.141,2.3,Day
6169,20/10/2022 19:23,27.79,8.14,8.131,2.2,Night
6170,20/10/2022 20:23,27.76,8.14,8.131,2.1,Night
6171,20/10/2022 21:23,27.74,8.12,8.111,1.7,Night
6172,20/10/2022 22:23,27.69,8.09,8.081,1.4,Night
6173,20/10/2022 23:23,27.67,8.08,8.071,1,Night
6174,21/10/2022 0:23,27.64,8.07,8.061,0.8,Night
6175,21/10/2022 1:23,27.64,8.1,8.091,0.8,Night
6176,21/10/2022 2:23,27.74,8.11,8.101,0.9,Night
6177,21/10/2022 3:23,27.76,8.12,8.111,1.2,Night
6178,21/10/2022 4:23,27.94,8.11,8.101,1.4,Night
6179,21/10/2022 5:23,28.04,8.13,8.121,1.6,Night
6180,21/10/2022 6:23,28.06,8.13,8.121,1.7,Day
6181,21/10/2022 7:23,28.11,8.15,8.141,1.6,Day
6182,21/10/2022 8:23,28.13,8.16,8.151,1.5,Day
6183,21/10/2022 9:23,28.09,8.17,8.161,1.2,Day
6184,21/10/2022 10:23,28.01,8.21,8.201,1,Day
6185,21/10/2022 11:23,27.86,8.24,8.231,0.8,Day
6186,21/10/2022 12:23,27.81,8.22,8.211,0.8,Day
6187,21/10/2022 13:23,27.84,8.21,8.201,0.8,Day
6188,21/10/2022 14:23,27.72,8.16,8.151,1.1,Day
6189,21/10/2022 15:23,27.86,8.16,8.151,1.4,Day
6190,21/10/2022 16:23,27.91,8.18,8.171,1.9,Day
6191,21/10/2022 17:23,27.79,8.17,8.161,2.1,Day
6192,21/10/2022 18:23,27.74,8.14,8.131,2.3,Day
6193,21/10/2022 19:23,27.67,8.14,8.131,2.2,Day
6194,21/10/2022 20:23,27.57,8.13,8.121,2.1,Night
6195,21/10/2022 21:23,27.64,8.12,8.111,1.7,Night
6196,21/10/2022 22:23,27.62,8.11,8.101,1.4,Night
