----,
DateTime:,      2022/10/23, 18:38:42, 1666510722062,
PIF:,          -1327.06,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    1, 
S/N Ratio:,  2375.16,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.214,     807.451,      0.000,
    2,        3.3,    172.498,     820.010,      0.000,
    3,        5.8,    171.759,     832.603,      0.000,
    4,        8.3,    171.796,     838.503,      0.000,
    5,       10.8,    171.907,     844.232,      0.000,
    6,       13.3,    172.041,     856.053,      0.000,
    7,       15.8,    172.122,     866.392,      0.000,
    8,       18.3,    172.237,     877.245,      0.000,
    9,       20.8,    172.218,     887.848,      0.000,
   10,       23.3,    172.292,     899.633,      0.000,
   11,       25.8,    172.213,     910.538,      0.000,
   12,       28.3,    172.314,     921.333,      0.000,
   13,       30.8,    172.315,     932.482,      0.000,
   14,       33.3,    172.172,     942.975,      0.000,
   15,       35.8,    172.242,     953.287,      0.000,
   16,       38.3,    172.310,     963.175,      0.000,
   17,       40.8,    172.397,     974.898,      0.000,
   18,       43.3,    172.302,     984.150,      0.000,
   19,       45.8,    172.317,     994.446,      0.000,
   20,       48.3,    172.277,    1003.971,      0.000,
   21,       50.8,    172.459,    1013.286,      0.000,
   22,       53.3,    172.406,    1021.815,      0.000,
   23,       55.8,    172.228,    1031.696,      0.000,
   24,       58.3,    172.251,    1039.421,      0.000,
   25,       60.8,    172.304,    1048.296,      0.000,
   26,       63.3,    172.302,    1055.938,      0.000,
   27,       65.8,    172.371,    1064.541,      0.000,
   28,       68.3,    172.312,    1072.142,      0.000,
   29,       70.8,    172.388,    1080.243,      0.000,
   30,       73.3,    172.261,    1087.071,      0.000,
   31,       75.8,    172.254,    1094.738,      0.000,
