Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:28:33,    1666492113339,-1339.94,     0.0000,      0.0000,  NO DATA,    '01000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     30.691,   861.105,   1825.050,    963.945,  0.5282,  1.1194,   138.54,  0.2000,     0.000,    5.501,  0.000,      343,  0.000,      917,  0.000,     8366, 0.0504,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.466,   751.64,   350.45,  0.226,      20.00,    0.000,    600.00, 2534.47,   0.000,     0.0,     0.0,     0.0,     0.0,    1521,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:28:48,    1666492128168,-1320.29,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     26.750,   972.014,   1821.361,    849.346,  0.4663,  0.8738,   147.16,  0.2000,     0.000,    4.647,  0.000,      404,  0.000,     1028,  0.000,     5040, 0.0265,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.457,   647.25,   295.58,  0.213,      20.00,    0.000,    600.00, 2853.61,   0.000,     0.0,     0.0,     0.0,     0.0,    1084,    1.6351,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:29:01,    1666492140880,-1320.65,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     26.757,   982.942,   1840.064,    857.121,  0.4658,  0.8720,   147.02,  0.2000,     0.000,    4.562,  0.000,      402,  0.000,     1009,  0.000,     4557, 0.0255,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.455,   676.22,   307.39,  0.216,      20.00,    0.000,    600.00, 2798.22,   0.000,     0.0,     0.0,     0.0,     0.0,     999,    1.6384,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:29:13,    1666492153575,-1323.39,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,     19.249,   983.094,   1836.976,    853.882,  0.4648,  0.8686,   148.13,  0.2000,     0.000,    4.456,  0.000,      394,  0.000,      955,  0.000,     4273, 0.0259,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.456,   698.07,   318.38,  0.214,      20.00,    0.000,    600.00, 2354.36,   0.000,     0.0,     0.0,     0.0,     0.0,     959,    1.6309,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:29:28,    1666492168340,-1293.26,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     28.004,  1030.282,   1865.237,    834.955,  0.4476,  0.8104,   150.45,  0.2000,     0.000,    4.138,  0.000,      408,  0.000,      962,  0.000,     3858, 0.0200,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.474,   646.41,   306.55,  0.209,      20.00,    0.000,    600.00, 2962.25,   0.000,     0.0,     0.0,     0.0,     0.0,     932,    1.5119,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:29:41,    1666492181023,-1292.74,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     21.505,  1024.767,   1857.880,    833.113,  0.4484,  0.8130,   151.30,  0.2000,     0.000,    4.055,  0.000,      404,  0.000,      955,  0.000,     3700, 0.0202,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.476,   662.93,   315.66,  0.213,      20.00,    0.000,    600.00, 2614.49,   0.000,     0.0,     0.0,     0.0,     0.0,     912,    1.5456,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:29:53,    1666492193675,-1295.08,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,     22.742,  1017.055,   1841.309,    824.254,  0.4476,  0.8104,   151.33,  0.2000,     0.000,    4.058,  0.000,      404,  0.000,      963,  0.000,     3846, 0.0189,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.476,   658.06,   313.12,  0.210,      20.00,    0.000,    600.00, 2722.76,   0.000,     0.0,     0.0,     0.0,     0.0,     948,    1.5671,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:30:08,    1666492208434,-1254.17,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     23.504,  1053.617,   1842.977,    789.359,  0.4283,  0.7492,   151.48,  0.2000,     0.000,    3.810,  0.000,      412,  0.000,      950,  0.000,     3864, 0.0184,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.500,   642.07,   321.27,  0.208,      20.00,    0.000,    600.00, 2825.25,   0.000,     0.0,     0.0,     0.0,     0.0,    1014,    1.5736,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:30:21,    1666492221137,-1259.29,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.833,  1044.676,   1836.855,    792.179,  0.4313,  0.7583,   152.45,  0.2000,     0.000,    3.731,  0.000,      405,  0.000,      936,  0.000,     3582, 0.0178,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.504,   657.49,   331.54,  0.209,      20.00,    0.000,    600.00, 2264.84,   0.000,     0.0,     0.0,     0.0,     0.0,     960,    1.5698,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:30:33,    1666492233801,-1262.36,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,     19.982,  1039.766,   1831.164,    791.397,  0.4322,  0.7611,   152.90,  0.2000,     0.000,    3.802,  0.000,      407,  0.000,      970,  0.000,     3755, 0.0165,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.508,   648.17,   329.21,  0.209,      20.00,    0.000,    600.00, 2618.76,   0.000,     0.0,     0.0,     0.0,     0.0,     988,    1.6007,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:30:48,    1666492248546,-1180.43,     0.0000,      0.0000,  NO DATA,    '01000,   100.00,    0.00,    0.00,    0.00,    0.00,    0.00,     24.163,  1087.093,   1818.096,    731.004,  0.4021,  0.6724,   153.37,  0.2000,     0.000,    3.499,  0.000,      429,  0.000,      988,  0.000,     4273, 0.0189,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.568,   609.77,   346.63,  0.200,      20.00,    0.000,    600.00, 3183.47,   0.000,     0.0,     0.0,     0.0,     0.0,    1221,    1.7067,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:31:01,    1666492261230,-1182.78,     0.0000,      0.0000,  NO DATA,    '01000,   100.00,    0.00,    0.00,    0.00,    0.00,    0.00,     15.317,  1073.402,   1806.872,    733.470,  0.4059,  0.6833,   153.64,  0.2000,     0.000,    3.520,  0.000,      423,  0.000,      974,  0.000,     3927, 0.0169,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.569,   628.70,   357.69,  0.198,      20.00,    0.000,    600.00, 2478.61,   0.000,     0.0,     0.0,     0.0,     0.0,    1115,    1.6756,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:31:14,    1666492273924,-1181.98,     0.0000,      0.0000,  NO DATA,    '01000,   100.00,    0.00,    0.00,    0.00,    0.00,    0.00,     15.343,  1060.543,   1793.218,    732.676,  0.4086,  0.6908,   153.22,  0.2000,     0.000,    3.520,  0.000,      412,  0.000,      956,  0.000,     3853, 0.0169,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.567,   646.49,   366.24,  0.202,      20.00,    0.000,    600.00, 2513.42,   0.000,     0.0,     0.0,     0.0,     0.0,    1095,    1.6823,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:31:28,    1666492288655,-1116.27,     0.0000,      0.0000,  NO DATA,    '01000,   150.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.858,  1083.110,   1767.666,    684.556,  0.3873,  0.6320,   152.77,  0.2000,     0.000,    3.377,  0.000,      432,  0.000,     1023,  0.000,     4375, 0.0197,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.630,   621.84,   391.54,  0.196,      20.00,    0.000,    600.00, 2392.16,   0.000,     0.0,     0.0,     0.0,     0.0,    1295,    1.8311,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:31:41,    1666492301333,-1124.02,     0.0000,      0.0000,  NO DATA,    '01000,   150.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.044,  1068.618,   1752.526,    683.907,  0.3902,  0.6400,   152.99,  0.2000,     0.000,    3.398,  0.000,      422,  0.000,      981,  0.000,     4080, 0.0191,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.628,   638.74,   401.06,  0.194,      20.00,    0.000,    600.00, 2496.09,   0.000,     0.0,     0.0,     0.0,     0.0,    1201,    1.7725,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:31:54,    1666492314014,-1125.82,     0.0000,      0.0000,  NO DATA,    '01000,   150.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.399,  1058.768,   1739.279,    680.512,  0.3913,  0.6427,   153.00,  0.2000,     0.000,    3.401,  0.000,      428,  0.000,     1024,  0.000,     4357, 0.0156,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.639,   617.56,   394.36,  0.195,      20.00,    0.000,    600.00, 2351.93,   0.000,     0.0,     0.0,     0.0,     0.0,    1281,    1.8029,
C:\LIFT\DATA\Chiara Oct 2022\2_data.csv                                                                                        ,2022/10/23, 13:32:08,    1666492328771, -989.06,     0.0000,      0.0000,  NO DATA,    '01000,   250.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.947,  1113.615,   1722.585,    608.970,  0.3535,  0.5468,   150.01,  0.2000,     0.000,    3.216,  0.000,      457,  0.000,     1133,  0.000,     5604, 0.0208,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.781,   557.11,   435.21,  0.182,      20.00,    0.000,    600.00, 3010.37,   0.000,     0.0,     0.0,     0.0,     0.0,    1742,    1.9625,
