----,
DateTime:,      2022/10/23, 13:41:03, 1666492863227,
PIF:,            693.74,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  2612.32,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.240,     699.786,      0.000,
    2,        3.3,    172.463,     710.889,      0.000,
    3,        5.8,    171.790,     722.012,      0.000,
    4,        8.3,    171.762,     729.895,      0.000,
    5,       10.8,    172.004,     735.981,      0.000,
    6,       13.3,    172.269,     741.880,      0.000,
    7,       15.8,    172.187,     750.120,      0.000,
    8,       18.3,    172.172,     758.039,      0.000,
    9,       20.8,    172.186,     767.735,      0.000,
   10,       23.3,    172.358,     776.698,      0.000,
   11,       25.8,    172.377,     786.087,      0.000,
   12,       28.3,    172.250,     793.653,      0.000,
   13,       30.8,    172.284,     802.490,      0.000,
   14,       33.3,    172.434,     811.136,      0.000,
   15,       35.8,    172.569,     819.779,      0.000,
   16,       38.3,    172.279,     827.289,      0.000,
   17,       40.8,    172.367,     835.555,      0.000,
   18,       43.3,    172.467,     842.894,      0.000,
   19,       45.8,    172.481,     850.571,      0.000,
   20,       48.3,    172.377,     857.208,      0.000,
   21,       50.8,    172.364,     865.096,      0.000,
   22,       53.3,    172.278,     871.746,      0.000,
   23,       55.8,    172.360,     877.778,      0.000,
   24,       58.3,    172.416,     885.194,      0.000,
   25,       60.8,    172.339,     890.787,      0.000,
   26,       63.3,    172.304,     896.664,      0.000,
   27,       65.8,    172.244,     902.437,      0.000,
   28,       68.3,    172.184,     908.782,      0.000,
   29,       70.8,    172.293,     913.787,      0.000,
   30,       73.3,    172.458,     918.937,      0.000,
   31,       75.8,    172.420,     924.211,      0.000,
   32,       78.3,    172.425,     929.036,      0.000,
