----,
DateTime:,      2022/10/23, 15:02:27, 1666497746826,
PIF:,          -1338.00,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    1, 
S/N Ratio:,  3317.89,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.016,    1027.914,      0.000,
    2,        3.3,    172.379,    1040.313,      0.000,
    3,        5.8,    171.772,    1052.739,      0.000,
    4,        8.3,    171.744,    1061.358,      0.000,
    5,       10.8,    171.987,    1071.235,      0.000,
    6,       13.3,    172.123,    1083.798,      0.000,
    7,       15.8,    172.238,    1096.946,      0.000,
    8,       18.3,    172.354,    1109.115,      0.000,
    9,       20.8,    172.237,    1121.260,      0.000,
   10,       23.3,    172.442,    1133.587,      0.000,
   11,       25.8,    172.495,    1146.574,      0.000,
   12,       28.3,    172.301,    1158.894,      0.000,
   13,       30.8,    172.270,    1170.934,      0.000,
   14,       33.3,    172.356,    1182.453,      0.000,
   15,       35.8,    172.328,    1194.755,      0.000,
   16,       38.3,    172.365,    1206.529,      0.000,
   17,       40.8,    172.289,    1217.371,      0.000,
   18,       43.3,    172.455,    1228.403,      0.000,
   19,       45.8,    172.339,    1239.754,      0.000,
   20,       48.3,    172.299,    1250.137,      0.000,
   21,       50.8,    172.451,    1262.214,      0.000,
   22,       53.3,    172.430,    1270.754,      0.000,
   23,       55.8,    172.447,    1280.409,      0.000,
   24,       58.3,    172.404,    1289.786,      0.000,
   25,       60.8,    172.294,    1300.012,      0.000,
   26,       63.3,    172.358,    1309.117,      0.000,
   27,       65.8,    172.232,    1317.286,      0.000,
   28,       68.3,    172.433,    1325.956,      0.000,
   29,       70.8,    172.347,    1334.995,      0.000,
   30,       73.3,    172.317,    1343.347,      0.000,
   31,       75.8,    172.311,    1351.492,      0.000,
