----,
DateTime:,      2022/10/23, 17:23:32, 1666506211970,
PIF:,            701.55,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  1939.30,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,
    1,        0.8,    172.279,     431.419,
    2,        3.3,    172.364,     440.172,
    3,        5.8,    171.722,     448.951,
    4,        8.3,    172.017,     455.731,
    5,       10.8,    171.966,     462.660,
    6,       13.3,    171.969,     470.463,
    7,       15.8,    172.147,     477.459,
    8,       18.3,    172.229,     485.005,
    9,       20.8,    172.339,     492.769,
   10,       23.3,    172.122,     500.583,
   11,       25.8,    172.173,     509.121,
   12,       28.3,    172.240,     515.115,
   13,       30.8,    172.209,     523.680,
   14,       33.3,    172.358,     530.578,
   15,       35.8,    172.298,     537.911,
   16,       38.3,    172.237,     545.166,
   17,       40.8,    172.291,     552.928,
   18,       43.3,    172.390,     559.176,
   19,       45.8,    172.469,     566.610,
   20,       48.3,    172.236,     572.320,
   21,       50.8,    172.384,     578.793,
   22,       53.3,    172.234,     584.699,
   23,       55.8,    172.477,     590.411,
   24,       58.3,    172.338,     596.877,
   25,       60.8,    172.262,     602.610,
   26,       63.3,    172.260,     608.006,
   27,       65.8,    172.329,     613.412,
   28,       68.3,    172.270,     618.866,
   29,       70.8,    172.281,     622.568,
   30,       73.3,    172.315,     627.910,
   31,       75.8,    172.309,     632.878,
   32,       78.3,    172.282,     636.412,
   33,       80.8,    172.287,     640.038,
   34,       83.3,    172.392,     644.184,
   35,       85.8,    172.323,     648.344,
   36,       88.3,    172.284,     652.009,
   37,       90.8,    172.156,     655.848,
   38,       93.3,    172.333,     659.081,
   39,       95.8,    172.233,     663.021,
   40,       98.3,    172.206,     665.565,
   41,      100.8,    172.219,     669.884,
   42,      103.3,    172.271,     672.415,
   43,      105.8,    172.277,     676.651,
   44,      108.3,    172.231,     679.747,
   45,      110.8,    172.316,     682.706,
   46,      113.3,    172.258,     685.727,
   47,      115.8,    172.147,     688.592,
   48,      118.3,    172.200,     691.018,
   49,      120.8,    172.167,     693.453,
   50,      123.3,    172.171,     697.546,
   51,      125.8,    172.053,     699.613,
   52,      128.3,    172.195,     701.619,
   53,      130.8,    172.237,     704.350,
   54,      133.3,    172.134,     707.542,
   55,      135.8,    172.018,     709.609,
   56,      138.3,    172.092,     710.961,
   57,      140.8,    172.095,     714.817,
   58,      143.3,    172.125,     716.116,
   59,      145.8,    172.178,     717.630,
   60,      148.3,    171.957,     719.893,
   61,      150.8,    172.158,     722.105,
   62,      153.3,    172.013,     724.983,
   63,      155.8,    171.997,     726.332,
   64,      158.3,    172.227,     728.013,
   65,      160.8,    172.050,     730.222,
   66,      163.3,    172.146,     731.968,
   67,      165.8,    172.032,     733.653,
   68,      168.3,    172.072,     735.361,
   69,      170.8,    172.003,     737.973,
   70,      173.3,    171.866,     739.095,
   71,      175.8,    171.972,     740.530,
   72,      178.3,    172.080,     742.345,
   73,      180.8,    172.106,     743.638,
   74,      183.3,    172.071,     745.213,
   75,      185.8,    171.935,     746.830,
   76,      188.3,    172.040,     748.406,
   77,      190.8,    171.915,     749.886,
   78,      193.3,    171.998,     750.741,
   79,      195.8,    172.022,     751.884,
   80,      198.3,    171.866,     754.065,
   81,      200.8,    171.954,     755.440,
   82,      203.3,    171.947,     756.911,
   83,      205.8,    171.863,     757.547,
   84,      208.3,    171.956,     759.207,
   85,      210.8,    171.794,     760.010,
   86,      213.3,    171.887,     760.978,
   87,      215.8,    171.852,     762.844,
   88,      218.3,    171.815,     763.878,
   89,      220.8,    171.775,     764.838,
   90,      223.3,    171.846,     766.000,
   91,      225.8,    171.766,     766.817,
   92,      228.3,    171.775,     768.209,
   93,      230.8,    171.688,     770.128,
   94,      233.3,    171.830,     770.555,
   95,      235.8,    171.836,     771.718,
   96,      238.3,    171.663,     772.137,
   97,      240.8,    171.787,     773.140,
   98,      243.3,    171.885,     774.346,
   99,      245.8,    171.725,     775.468,
  100,      250.8,    170.883,     777.807,
  101,      273.3,    171.840,     779.317,
  102,      295.8,    171.841,     770.416,
  103,      318.3,    171.892,     762.005,
  104,      343.3,    171.785,     752.091,
  105,      368.3,    171.740,     744.299,
  106,      395.8,    171.795,     736.540,
  107,      423.3,    171.890,     728.681,
  108,      453.3,    171.827,     721.711,
  109,      483.3,    171.903,     715.953,
  110,      515.8,    171.880,     710.992,
  111,      550.8,    171.836,     705.903,
  112,      585.8,    171.721,     699.951,
  113,      623.3,    171.858,     695.499,
  114,      663.3,    171.782,     691.676,
  115,      705.8,    171.721,     686.390,
  116,      748.3,    171.552,     682.594,
  117,      793.3,    171.794,     677.509,
  118,      840.8,    171.655,     674.165,
  119,      890.8,    171.580,     670.613,
  120,      943.3,    171.718,     665.826,
  121,      998.3,    171.610,     661.908,
  122,     1055.8,    171.657,     658.388,
  123,     1115.8,    171.597,     654.734,
  124,     1178.3,    171.661,     650.671,
  125,     1245.8,    171.580,     647.338,
  126,     1315.8,    171.603,     642.471,
  127,     1388.3,    171.588,     639.186,
  128,     1465.8,    171.585,     634.633,
  129,     1545.8,    171.710,     631.795,
  130,     1630.8,    171.676,     626.918,
  131,     1720.8,    171.476,     623.174,
  132,     1815.8,    171.509,     619.283,
  133,     1913.3,    171.699,     615.837,
  134,     2015.8,    171.644,     611.756,
  135,     2123.3,    171.809,     608.558,
  136,     2238.3,    171.664,     605.308,
  137,     2358.3,    171.614,     601.079,
  138,     2483.3,    171.762,     597.123,
  139,     2615.8,    171.738,     592.557,
  140,     2753.3,    171.822,     589.663,
  141,     2898.3,    171.831,     586.854,
  142,     3050.8,    171.806,     582.458,
  143,     3210.8,    171.810,     579.874,
  144,     3378.3,    172.099,     577.433,
  145,     3555.8,    171.806,     573.126,
  146,     3740.8,    172.071,     570.018,
  147,     3935.8,    172.082,     566.620,
  148,     4140.8,    172.168,     564.124,
  149,     4355.8,    172.059,     560.816,
  150,     4580.8,    172.290,     558.119,
  151,     4818.3,    172.266,     554.890,
  152,     5068.3,    172.058,     552.576,
  153,     5330.8,    172.141,     549.363,
  154,     5605.8,    172.302,     546.964,
  155,     5895.8,    172.310,     544.445,
  156,     6200.8,    172.240,     541.774,
  157,     6520.8,    172.484,     539.370,
  158,     6855.8,    172.296,     536.370,
  159,     7208.3,    172.232,     534.487,
  160,     7578.3,    172.400,     532.146,
  161,     7965.8,    172.268,     530.797,
  162,     8373.3,    172.194,     528.430,
  163,     8800.8,    172.269,     526.430,
  164,     9250.8,    172.391,     524.005,
  165,     9723.3,    172.371,     522.352,
  166,    10220.8,    172.262,     520.476,
  167,    10743.3,    172.222,     519.050,
  168,    11290.8,    172.319,     517.468,
  169,    11865.8,    172.454,     516.423,
  170,    12470.8,    172.313,     513.811,
  171,    13105.8,    172.215,     513.088,
  172,    13773.3,    172.469,     510.622,
  173,    14475.8,    172.159,     508.448,
  174,    15213.3,    172.268,     507.278,
  175,    15988.3,    172.359,     506.117,
  176,    16800.8,    172.185,     505.009,
  177,    17655.8,    172.322,     503.419,
  178,    18553.3,    172.352,     502.177,
  179,    19495.8,    172.132,     501.612,
  180,    20485.8,    172.193,     500.652,
  181,    21525.8,    172.350,     498.861,
  182,    22618.3,    172.294,     497.655,
  183,    23768.3,    172.253,     496.573,
  184,    24975.8,    172.238,     495.660,
  185,    26243.3,    172.237,     494.349,
  186,    27575.8,    172.209,     493.547,
  187,    28975.8,    172.241,     492.972,
  188,    30445.8,    172.243,     491.578,
  189,    31990.8,    172.220,     490.623,
  190,    33613.3,    172.403,     489.105,
  191,    35318.3,    172.212,     489.017,
  192,    37108.3,    172.324,     487.789,
  193,    38990.8,    172.236,     486.648,
  194,    40968.3,    172.200,     485.787,
  195,    43045.8,    172.340,     484.941,
  196,    45228.3,    172.321,     484.587,
  197,    47520.8,    172.459,     483.010,
  198,    49928.3,    172.195,     481.668,
  199,    52458.3,    172.356,     481.946,
  200,    55115.8,    172.388,     481.380,
  201,    57908.3,    172.230,     480.116,
  202,    60843.3,    172.282,     479.795,
  203,    63925.8,    172.190,     478.785,
  204,    67163.3,    172.297,     477.344,
  205,    70565.8,    172.226,     477.028,
  206,    74140.8,    172.310,     476.351,
  207,    77895.8,    172.365,     475.449,
  208,    81840.8,    172.161,     474.860,
  209,    85985.8,    172.286,     474.429,
  210,    90340.8,    172.277,     473.593,
  211,    94915.8,    172.253,     472.881,
  212,    99723.3,    172.369,     472.108,
  213,   104773.3,    172.101,     471.487,
  214,   110078.3,    172.356,     471.239,
  215,   115653.3,    172.233,     470.037,
  216,   121508.3,    172.369,     469.508,
  217,   127660.8,    172.298,     469.033,
  218,   134125.8,    172.194,     468.684,
  219,   140915.8,    172.185,     467.983,
  220,   148050.8,    172.476,     467.606,
  221,   155545.8,    172.264,     467.293,
  222,   163420.8,    172.231,     466.869,
  223,   171695.8,    172.262,     465.585,
  224,   180388.3,    172.168,     464.941,
  225,   189520.8,    172.265,     464.395,
  226,   199115.8,    172.373,     463.846,
  227,   209195.8,    172.221,     463.594,
----,
DateTime:,      2022/10/23, 17:23:47, 1666506226919,
PIF:,            709.80,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,      10.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  1705.83,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    172.317,     529.444,      0.000,
    2,        3.3,    172.336,     537.237,      0.000,
    3,        5.8,    171.856,     545.053,      0.000,
    4,        8.3,    171.925,     550.219,      0.000,
    5,       10.8,    172.100,     556.003,      0.000,
    6,       13.3,    172.039,     562.781,      0.000,
    7,       15.8,    171.991,     568.413,      0.000,
    8,       18.3,    172.234,     574.689,      0.000,
