Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\Chiara Oct 2022\123_data.csv                                                                                      ,2022/10/23, 17:47:36,    1666507656034,  707.90,     0.0000,      0.0000,  NO DATA,    '01000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     21.008,   425.488,    795.148,    369.661,  0.4649,  0.8688,   124.20,  0.2000,     0.000,    5.473,  0.000,      267,  0.000,      565,  0.000,     6184, 0.0460,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.364,  1202.34,   437.56,  0.176,      20.00,    0.000,    600.00, 1852.88,   0.000,     0.0,     0.0,     0.0,     0.0,    1130,    2.0000,
C:\LIFT\DATA\Chiara Oct 2022\123_data.csv                                                                                      ,2022/10/23, 17:47:51,    1666507670909,  721.87,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.507,   501.977,    859.295,    357.318,  0.4158,  0.7118,   118.38,  0.2000,     0.000,    4.767,  0.000,      375,  0.000,     1052,  0.000,     4084, 0.0109,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.323,   932.34,   301.47,  0.222,      20.00,    0.000,    600.00, 1848.56,   0.000,     0.0,     0.0,     0.0,     0.0,     857,    1.7142,
C:\LIFT\DATA\Chiara Oct 2022\123_data.csv                                                                                      ,2022/10/23, 17:48:03,    1666507683478,  723.96,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.445,   508.488,    875.157,    366.669,  0.4190,  0.7211,   117.95,  0.2000,     0.000,    4.470,  0.000,      366,  0.000,      951,  0.000,     2986, 0.0166,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.323,  1034.25,   333.88,  0.228,      20.00,    0.000,    600.00, 2157.97,   0.000,     0.0,     0.0,     0.0,     0.0,     668,    1.6394,
C:\LIFT\DATA\Chiara Oct 2022\123_data.csv                                                                                      ,2022/10/23, 17:48:16,    1666507696151,  722.81,     0.0000,      0.0000,  NO DATA,    '01000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.889,   510.018,    874.145,    364.126,  0.4166,  0.7139,   117.72,  0.2000,     0.000,    4.621,  0.000,      376,  0.000,     1004,  0.000,     3072, 0.0165,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.321,  1020.08,   327.03,  0.221,      20.00,    0.000,    600.00, 2003.12,   0.000,     0.0,     0.0,     0.0,     0.0,     665,    1.6712,
C:\LIFT\DATA\Chiara Oct 2022\123_data.csv                                                                                      ,2022/10/23, 17:48:31,    1666507710931,  745.60,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.666,   539.752,    896.252,    356.500,  0.3978,  0.6605,   118.64,  0.2000,     0.000,    4.211,  0.000,      387,  0.000,     1039,  0.000,     2852, 0.0071,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.325,   978.74,   317.83,  0.212,      20.00,    0.000,    600.00, 1987.36,   0.000,     0.0,     0.0,     0.0,     0.0,     677,    1.6648,
C:\LIFT\DATA\Chiara Oct 2022\123_data.csv                                                                                      ,2022/10/23, 17:48:43,    1666507723537,  747.58,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.755,   540.662,    900.473,    359.811,  0.3996,  0.6655,   118.82,  0.2000,     0.000,    4.457,  0.000,      385,  0.000,     1053,  0.000,     3095, 0.0050,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.327,   964.77,   315.62,  0.212,      20.00,    0.000,    600.00, 1875.48,   0.000,     0.0,     0.0,     0.0,     0.0,     694,    1.6643,
C:\LIFT\DATA\Chiara Oct 2022\123_data.csv                                                                                      ,2022/10/23, 17:48:56,    1666507736138,  745.46,     0.0000,      0.0000,  NO DATA,    '01000,    25.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.774,   541.630,    901.390,    359.760,  0.3991,  0.6642,   119.42,  0.2000,     0.000,    4.176,  0.000,      384,  0.000,     1030,  0.000,     2899, 0.0072,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.328,   978.50,   320.75,  0.212,      20.00,    0.000,    600.00, 1676.32,   0.000,     0.0,     0.0,     0.0,     0.0,     694,    1.6824,
C:\LIFT\DATA\Chiara Oct 2022\123_data.csv                                                                                      ,2022/10/23, 17:49:11,    1666507750919,  775.24,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.274,   561.335,    909.800,    348.465,  0.3830,  0.6208,   120.68,  0.2000,     0.000,    3.787,  0.000,      382,  0.000,     1018,  0.000,     3090, 0.0002,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.345,   953.54,   328.69,  0.203,      20.00,    0.000,    600.00, 1825.86,   0.000,     0.0,     0.0,     0.0,     0.0,     816,    1.7507,
C:\LIFT\DATA\Chiara Oct 2022\123_data.csv                                                                                      ,2022/10/23, 17:49:23,    1666507763539,  776.48,     0.0000,      0.0000,  NO DATA,    '01000,    50.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.872,   562.243,    911.281,    349.038,  0.3830,  0.6208,   121.60,  0.2000,     0.000,    3.988,  0.000,      383,  0.000,     1028,  0.000,     2827, 0.0063,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.344,  1007.91,   346.47,  0.199,      20.00,    0.000,    600.00, 2199.34,   0.000,     0.0,     0.0,     0.0,     0.0,     709,    1.8054,
