----,
DateTime:,      2022/10/23, 13:53:28, 1666493607960,
PIF:,            703.24,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           2,    1, 
S/N Ratio:,  1796.83,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    171.987,     401.330,      0.000,
    2,        3.3,    172.209,     408.848,      0.000,
    3,        5.8,    171.830,     416.382,      0.000,
    4,        8.3,    171.899,     421.115,      0.000,
    5,       10.8,    172.043,     426.456,      0.000,
    6,       13.3,    171.981,     432.706,      0.000,
    7,       15.8,    172.225,     438.866,      0.000,
    8,       18.3,    172.210,     444.626,      0.000,
    9,       20.8,    172.289,     451.114,      0.000,
   10,       23.3,    172.298,     456.974,      0.000,
   11,       25.8,    172.251,     463.508,      0.000,
   12,       28.3,    172.222,     469.251,      0.000,
   13,       30.8,    172.288,     475.485,      0.000,
   14,       33.3,    172.341,     480.869,      0.000,
   15,       35.8,    172.313,     487.399,      0.000,
   16,       38.3,    172.511,     492.810,      0.000,
   17,       40.8,    172.371,     497.899,      0.000,
   18,       43.3,    172.309,     503.307,      0.000,
   19,       45.8,    172.420,     508.225,      0.000,
   20,       48.3,    172.413,     512.694,      0.000,
   21,       50.8,    172.336,     518.739,      0.000,
   22,       53.3,    172.347,     523.678,      0.000,
   23,       55.8,    172.429,     527.787,      0.000,
   24,       58.3,    172.355,     531.894,      0.000,
   25,       60.8,    172.245,     536.494,      0.000,
   26,       63.3,    172.373,     540.691,      0.000,
   27,       65.8,    172.281,     543.826,      0.000,
   28,       68.3,    172.286,     548.333,      0.000,
   29,       70.8,    172.362,     552.631,      0.000,
   30,       73.3,    172.332,     555.503,      0.000,
   31,       75.8,    172.520,     558.801,      0.000,
   32,       78.3,    172.396,     562.563,      0.000,
