sample_filename,DATE,TIME,Time__mSec,PIF,Lon,Lat,GPS_stat,LEDSel,PAR,Light_2,Light_3,Light_4,Light_5,Light_6,ChiSq,Fo,Fm,Fv,FqFm,Fv/Fo,Sig,p,fmPQ,PQP_Size,Alp1QA,Tau1QA,Alp2QA,Tau2QA,Alp3QA,Tau3QA,Cx,TauQx,Alp1PQ,Tau1PQ,Alp2PQ,Tau2PQ,Alp3PQ,Tau3PQ,ETR,Alpha,Ek,Pmax,carQ,carQt,p680Q,p680Qt,S/N_RAT,fQB,PAR_3,PAR_4,PAR_5,PAR_6,TPQ_PSI,QBP_Size,sample_id,site,colony,habitat
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:14:11,1666491251674,-1331.91,0.0000,0.0000,NO DATA,'01000,0.00,0.00,0.00,0.00,0.00,0.00,41.961,611.497,1392.921,781.424,0.5610,1.2779,155.41,0.2000,0.000,5.336,0.000,342,0.000,916,0.000,8606,0.0414,300000,0.000,0,0.000,0,0.000,0,0.000,0.557,646.81,360.48,0.220,20.00,0.000,600.00,2608.21,0.000,0.0,0.0,0.0,0.0,1613,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:14:26,1666491266625,-1316.99,0.0000,0.0000,NO DATA,'01000,10.00,0.00,0.00,0.00,0.00,0.00,30.573,722.360,1448.738,726.379,0.5014,1.0056,160.56,0.2000,0.000,4.060,0.000,423,0.000,1039,0.000,3749,0.0181,300000,0.000,0,0.000,0,0.000,0,0.000,0.542,507.81,275.07,0.216,20.00,0.000,600.00,2460.69,0.000,0.0,0.0,0.0,0.0,923,1.2739,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:14:39,1666491279379,-1321.13,0.0000,0.0000,NO DATA,'01000,10.00,0.00,0.00,0.00,0.00,0.00,32.528,730.033,1459.984,729.950,0.5000,0.9999,161.23,0.2000,0.000,4.014,0.000,420,0.000,1013,0.000,3640,0.0155,300000,0.000,0,0.000,0,0.000,0,0.000,0.542,516.33,279.72,0.219,20.00,0.000,600.00,2542.57,0.000,0.0,0.0,0.0,0.0,907,1.2770,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:14:52,1666491292046,-1321.85,0.0000,0.0000,NO DATA,'01000,10.00,0.00,0.00,0.00,0.00,0.00,37.203,730.220,1458.447,728.227,0.4993,0.9973,162.43,0.2000,0.000,3.878,0.000,415,0.000,976,0.000,3378,0.0179,300000,0.000,0,0.000,0,0.000,0,0.000,0.543,539.02,292.93,0.217,20.00,0.000,600.00,2735.19,0.000,0.0,0.0,0.0,0.0,871,1.3033,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:15:07,1666491306862,-1303.69,0.0000,0.0000,NO DATA,'01000,25.00,0.00,0.00,0.00,0.00,0.00,20.694,771.300,1479.100,707.799,0.4785,0.9177,165.84,0.2000,0.000,3.633,0.000,417,0.000,987,0.000,3243,0.0113,300000,0.000,0,0.000,0,0.000,0,0.000,0.569,506.58,288.41,0.217,20.00,0.000,600.00,2152.52,0.000,0.0,0.0,0.0,0.0,892,1.2632,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:15:19,1666491319503,-1298.73,0.0000,0.0000,NO DATA,'01000,25.00,0.00,0.00,0.00,0.00,0.00,25.807,768.654,1470.442,701.788,0.4773,0.9130,166.05,0.2000,0.000,3.721,0.000,425,0.000,997,0.000,3238,0.0097,300000,0.000,0,0.000,0,0.000,0,0.000,0.568,509.82,289.57,0.209,20.00,0.000,600.00,2352.02,0.000,0.0,0.0,0.0,0.0,870,1.2734,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:15:32,1666491332107,-1301.15,0.0000,0.0000,NO DATA,'01000,25.00,0.00,0.00,0.00,0.00,0.00,24.994,765.024,1460.852,695.828,0.4763,0.9096,165.89,0.2000,0.000,3.647,0.000,424,0.000,992,0.000,3228,0.0087,300000,0.000,0,0.000,0,0.000,0,0.000,0.566,511.59,289.63,0.207,20.00,0.000,600.00,2380.96,0.000,0.0,0.0,0.0,0.0,885,1.2837,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:15:47,1666491346875,-1270.39,0.0000,0.0000,NO DATA,'01000,50.00,0.00,0.00,0.00,0.00,0.00,20.514,793.263,1444.897,651.633,0.4510,0.8215,168.62,0.2000,0.000,3.499,0.000,425,0.000,944,0.000,3475,0.0112,300000,0.000,0,0.000,0,0.000,0,0.000,0.603,504.72,304.40,0.204,20.00,0.000,600.00,2209.88,0.000,0.0,0.0,0.0,0.0,993,1.3310,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:15:59,1666491359553,-1272.09,0.0000,0.0000,NO DATA,'01000,50.00,0.00,0.00,0.00,0.00,0.00,20.899,787.385,1442.873,655.487,0.4543,0.8325,168.30,0.2000,0.000,3.497,0.000,428,0.000,990,0.000,3497,0.0074,300000,0.000,0,0.000,0,0.000,0,0.000,0.607,501.87,304.81,0.204,20.00,0.000,600.00,2205.87,0.000,0.0,0.0,0.0,0.0,1000,1.3578,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:16:12,1666491372267,-1275.86,0.0000,0.0000,NO DATA,'01000,50.00,0.00,0.00,0.00,0.00,0.00,21.893,781.029,1431.186,650.157,0.4543,0.8324,168.06,0.2000,0.000,3.503,0.000,430,0.000,989,0.000,3448,0.0071,300000,0.000,0,0.000,0,0.000,0,0.000,0.606,504.84,305.87,0.200,20.00,0.000,600.00,2225.71,0.000,0.0,0.0,0.0,0.0,984,1.3554,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:16:27,1666491386990,-1217.64,0.0000,0.0000,NO DATA,'01000,100.00,0.00,0.00,0.00,0.00,0.00,17.743,823.506,1399.826,576.321,0.4117,0.6998,168.04,0.2000,0.000,3.295,0.000,471,0.000,1100,0.000,4390,0.0139,300000,0.000,0,0.000,0,0.000,0,0.000,0.675,473.38,319.52,0.190,20.00,0.000,600.00,2232.07,0.000,0.0,0.0,0.0,0.0,1332,1.5831,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:16:39,1666491399611,-1214.09,0.0000,0.0000,NO DATA,'01000,100.00,0.00,0.00,0.00,0.00,0.00,23.587,811.114,1396.437,585.323,0.4192,0.7216,168.66,0.2000,0.000,3.174,0.000,444,0.000,973,0.000,3507,0.0135,300000,0.000,0,0.000,0,0.000,0,0.000,0.669,513.63,343.71,0.191,20.00,0.000,600.00,2570.72,0.000,0.0,0.0,0.0,0.0,1105,1.4802,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:16:52,1666491412264,-1217.41,0.0000,0.0000,NO DATA,'01000,100.00,0.00,0.00,0.00,0.00,0.00,15.490,801.408,1381.423,580.016,0.4199,0.7237,169.33,0.2000,0.000,3.355,0.000,455,0.000,1038,0.000,3933,0.0092,300000,0.000,0,0.000,0,0.000,0,0.000,0.679,497.71,338.19,0.186,20.00,0.000,600.00,2037.83,0.000,0.0,0.0,0.0,0.0,1172,1.5324,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:17:07,1666491427108,-1169.04,0.0000,0.0000,NO DATA,'01000,150.00,0.00,0.00,0.00,0.00,0.00,20.384,827.397,1362.938,535.541,0.3929,0.6473,167.83,0.2000,0.000,3.228,0.000,458,0.000,1040,0.000,4539,0.0174,300000,0.000,0,0.000,0,0.000,0,0.000,0.742,498.57,370.19,0.183,20.00,0.000,600.00,2563.30,0.000,0.0,0.0,0.0,0.0,1406,1.6824,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:17:20,1666491439850,-1173.98,0.0000,0.0000,NO DATA,'01000,150.00,0.00,0.00,0.00,0.00,0.00,19.140,814.836,1350.015,535.179,0.3964,0.6568,168.12,0.2000,0.000,3.318,0.000,457,0.000,1058,0.000,4265,0.0164,300000,0.000,0,0.000,0,0.000,0,0.000,0.739,514.99,380.51,0.182,20.00,0.000,600.00,2382.14,0.000,0.0,0.0,0.0,0.0,1286,1.6829,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:17:33,1666491453454,-1178.34,0.0000,0.0000,NO DATA,'01000,150.00,0.00,0.00,0.00,0.00,0.00,16.085,805.967,1341.838,535.871,0.3994,0.6649,168.40,0.2000,0.000,3.268,0.000,445,0.000,1002,0.000,4238,0.0143,300000,0.000,0,0.000,0,0.000,0,0.000,0.743,517.86,384.86,0.183,20.00,0.000,600.00,2292.96,0.000,0.0,0.0,0.0,0.0,1297,1.6523,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:17:52,1666491471989,-1079.59,0.0000,0.0000,NO DATA,'01000,250.00,0.00,0.00,0.00,0.00,0.00,12.803,866.763,1322.652,455.889,0.3447,0.5260,162.97,0.2000,0.000,2.855,0.000,506,0.000,1328,0.000,6918,0.0193,300000,0.000,0,0.000,0,0.000,0,0.000,0.964,401.96,387.34,0.168,20.00,0.000,600.00,2423.47,0.000,0.0,0.0,0.0,0.0,2423,1.9556,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:18:05,1666491484872,-1087.93,0.0000,0.0000,NO DATA,'01000,250.00,0.00,0.00,0.00,0.00,0.00,12.500,848.213,1309.377,461.164,0.3522,0.5437,162.96,0.2000,0.000,3.173,0.000,476,0.000,1212,0.000,5922,0.0205,300000,0.000,0,0.000,0,0.000,0,0.000,0.897,465.28,417.26,0.173,20.00,0.000,600.00,2262.22,0.000,0.0,0.0,0.0,0.0,1866,1.8912,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:18:17,1666491497624,-1092.62,0.0000,0.0000,NO DATA,'01000,250.00,0.00,0.00,0.00,0.00,0.00,12.348,832.779,1294.747,461.967,0.3568,0.5547,163.96,0.2000,0.000,3.167,0.000,475,0.000,1196,0.000,5890,0.0178,300000,0.000,0,0.000,0,0.000,0,0.000,0.901,473.35,426.49,0.174,20.00,0.000,600.00,2246.93,0.000,0.0,0.0,0.0,0.0,1860,1.9312,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:18:32,1666491512398,-857.92,0.0000,0.0000,NO DATA,'01000,500.00,0.00,0.00,0.00,0.00,0.00,4.594,957.397,1317.101,359.704,0.2731,0.3757,152.82,0.2000,0.000,2.467,0.000,513,0.000,1561,0.000,10383,0.0183,300000,0.000,0,0.000,0,0.000,0,0.000,1.664,286.88,477.48,0.165,20.00,0.000,600.00,2006.30,0.000,0.0,0.0,0.0,0.0,4209,1.8770,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:18:45,1666491525149,-881.54,0.0000,0.0000,NO DATA,'01000,500.00,0.00,0.00,0.00,0.00,0.00,5.837,919.599,1269.063,349.463,0.2754,0.3800,149.82,0.2000,0.000,2.732,0.000,512,0.000,1474,0.000,8884,0.0211,300000,0.000,0,0.000,0,0.000,0,0.000,1.361,366.33,498.70,0.156,20.00,0.000,600.00,2249.70,0.000,0.0,0.0,0.0,0.0,3252,1.9916,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:18:58,1666491537879,-909.71,0.0000,0.0000,NO DATA,'01000,500.00,0.00,0.00,0.00,0.00,0.00,6.710,878.780,1224.025,345.245,0.2821,0.3929,148.63,0.2000,0.000,3.067,0.000,463,0.000,1243,0.000,7732,0.0222,300000,0.000,0,0.000,0,0.000,0,0.000,1.163,457.52,531.92,0.167,20.00,0.000,600.00,2311.61,0.000,0.0,0.0,0.0,0.0,2521,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:19:12,1666491552757,-705.55,0.0000,0.0000,NO DATA,'01000,750.00,0.00,0.00,0.00,0.00,0.00,3.216,923.004,1202.080,279.075,0.2322,0.3024,140.63,0.2000,0.000,2.638,0.000,498,0.000,1464,0.000,9866,0.0214,300000,0.000,0,0.000,0,0.000,0,0.000,1.625,363.17,590.17,0.150,20.00,0.000,600.00,1960.54,0.000,0.0,0.0,0.0,0.0,3740,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:19:25,1666491565497,-737.76,0.0000,0.0000,NO DATA,'01000,750.00,0.00,0.00,0.00,0.00,0.00,4.971,879.927,1152.800,272.873,0.2367,0.3101,136.13,0.2000,0.000,3.086,0.000,463,0.000,1308,0.000,8847,0.0255,300000,0.000,0,0.000,0,0.000,0,0.000,1.344,459.29,617.42,0.157,20.00,0.000,600.00,2177.24,0.000,0.0,0.0,0.0,0.0,2867,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:19:38,1666491578209,-766.40,0.0000,0.0000,NO DATA,'01000,750.00,0.00,0.00,0.00,0.00,0.00,5.712,843.363,1108.206,264.844,0.2390,0.3140,132.91,0.2000,0.000,3.202,0.000,440,0.000,1029,0.000,6428,0.0309,300000,0.000,0,0.000,0,0.000,0,0.000,1.050,619.66,650.78,0.157,20.00,0.000,600.00,2157.92,0.000,0.0,0.0,0.0,0.0,2008,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:19:53,1666491593024,-604.20,0.0000,0.0000,NO DATA,'01000,1000.00,0.00,0.00,0.00,0.00,0.00,2.552,856.363,1083.891,227.528,0.2099,0.2657,127.87,0.2000,0.000,2.990,0.000,453,0.000,1189,0.000,8676,0.0272,300000,0.000,0,0.000,0,0.000,0,0.000,1.413,500.77,707.41,0.153,20.00,0.000,600.00,1694.77,0.000,0.0,0.0,0.0,0.0,2902,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:20:05,1666491605787,-636.74,0.0000,0.0000,NO DATA,'01000,1000.00,0.00,0.00,0.00,0.00,0.00,3.909,821.496,1039.365,217.869,0.2096,0.2652,124.45,0.2000,0.000,3.285,0.000,450,0.000,1096,0.000,8221,0.0288,300000,0.000,0,0.000,0,0.000,0,0.000,1.246,574.25,715.77,0.148,20.00,0.000,600.00,1984.63,0.000,0.0,0.0,0.0,0.0,2502,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:20:18,1666491618536,-664.39,0.0000,0.0000,NO DATA,'01000,1000.00,0.00,0.00,0.00,0.00,0.00,3.489,791.749,1005.662,213.913,0.2127,0.2702,122.07,0.2000,0.000,3.388,0.000,433,0.000,1001,0.000,7783,0.0257,300000,0.000,0,0.000,0,0.000,0,0.000,1.156,635.16,734.09,0.157,20.00,0.000,600.00,1612.56,0.000,0.0,0.0,0.0,0.0,2297,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:20:33,1666491633357,-524.82,0.0000,0.0000,NO DATA,'01000,1250.00,0.00,0.00,0.00,0.00,0.00,4.312,794.416,976.527,182.111,0.1865,0.2292,118.94,0.2000,0.000,2.689,0.000,502,0.000,1421,0.000,14919,0.0000,300000,0.000,0,0.000,0,0.000,0,0.000,1.435,332.96,477.83,0.136,20.00,0.000,600.00,1937.55,0.000,0.0,0.0,0.0,0.0,5549,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:20:46,1666491646148,-558.17,0.0000,0.0000,NO DATA,'01000,1250.00,0.00,0.00,0.00,0.00,0.00,2.800,763.854,941.882,178.029,0.1890,0.2331,115.71,0.2000,0.000,3.301,0.000,442,0.000,1011,0.000,7953,0.0291,300000,0.000,0,0.000,0,0.000,0,0.000,1.221,648.77,791.87,0.146,20.00,0.000,600.00,1491.55,0.000,0.0,0.0,0.0,0.0,2409,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:20:59,1666491658893,-582.20,0.0000,0.0000,NO DATA,'01000,1250.00,0.00,0.00,0.00,0.00,0.00,4.808,738.653,914.511,175.858,0.1923,0.2381,112.72,0.2000,0.000,3.572,0.000,418,0.000,943,0.000,7656,0.0298,300000,0.000,0,0.000,0,0.000,0,0.000,1.110,734.46,814.91,0.158,20.00,0.000,600.00,1869.98,0.000,0.0,0.0,0.0,0.0,2143,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\1_data.csv,2022/10/23,13:21:13,1666491673706,-1327.31,0.0000,0.0000,NO DATA,'01000,0.00,0.00,0.00,0.00,0.00,0.00,5.953,555.931,870.005,314.074,0.3610,0.5650,138.21,0.2000,0.000,3.493,0.000,366,0.000,1316,0.000,41219,0.0042,300000,0.000,0,0.000,0,0.000,0,0.000,0.326,162.34,52.90,0.140,20.00,0.000,600.00,1384.42,0.000,0.0,0.0,0.0,0.0,11802,2.0000,1,mangrove_1,1,Exposed
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:02:27,1666497746826,-1338.00,0.0000,0.0000,NO DATA,'01000,0.00,0.00,0.00,0.00,0.00,0.00,24.731,1001.663,1824.944,823.281,0.4511,0.8219,138.70,0.2000,0.000,7.215,0.000,397,0.000,900,0.000,11470,0.0494,300000,0.000,0,0.000,0,0.000,0,0.000,0.399,712.49,284.38,0.162,20.00,0.000,600.00,3317.89,0.000,0.0,0.0,0.0,0.0,1590,2.0000,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:02:41,1666497761714,-1325.88,0.0000,0.0000,NO DATA,'01000,10.00,0.00,0.00,0.00,0.00,0.00,16.245,1109.860,1855.185,745.326,0.4018,0.6715,147.52,0.2000,0.000,7.619,0.000,441,0.000,933,0.000,5603,0.0290,300000,0.000,0,0.000,0,0.000,0,0.000,0.392,703.89,276.24,0.155,20.00,0.000,600.00,2972.90,0.000,0.0,0.0,0.0,0.0,735,1.4899,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:02:54,1666497774420,-1328.11,0.0000,0.0000,NO DATA,'01000,10.00,0.00,0.00,0.00,0.00,0.00,22.110,1127.018,1884.126,757.107,0.4018,0.6718,147.84,0.2000,0.000,7.476,0.000,438,0.000,925,0.000,5237,0.0278,300000,0.000,0,0.000,0,0.000,0,0.000,0.393,716.06,281.39,0.159,20.00,0.000,600.00,3469.15,0.000,0.0,0.0,0.0,0.0,700,1.4849,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:03:07,1666497787076,-1325.87,0.0000,0.0000,NO DATA,'01000,10.00,0.00,0.00,0.00,0.00,0.00,13.300,1135.675,1903.515,767.840,0.4034,0.6761,149.28,0.2000,0.000,7.126,0.000,423,0.000,904,0.000,5095,0.0273,300000,0.000,0,0.000,0,0.000,0,0.000,0.398,734.33,292.00,0.165,20.00,0.000,600.00,2595.18,0.000,0.0,0.0,0.0,0.0,715,1.5297,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:03:22,1666497801879,-1302.25,0.0000,0.0000,NO DATA,'01000,25.00,0.00,0.00,0.00,0.00,0.00,18.312,1192.041,1944.621,752.580,0.3870,0.6313,152.20,0.2000,0.000,6.926,0.000,437,0.000,924,0.000,4417,0.0172,300000,0.000,0,0.000,0,0.000,0,0.000,0.411,692.12,284.65,0.158,20.00,0.000,600.00,3144.78,0.000,0.0,0.0,0.0,0.0,638,1.4182,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:03:34,1666497814471,-1305.98,0.0000,0.0000,NO DATA,'01000,25.00,0.00,0.00,0.00,0.00,0.00,22.038,1196.993,1956.141,759.148,0.3881,0.6342,152.61,0.2000,0.000,6.445,0.000,429,0.000,910,0.000,4069,0.0183,300000,0.000,0,0.000,0,0.000,0,0.000,0.412,721.43,296.99,0.159,20.00,0.000,600.00,3307.09,0.000,0.0,0.0,0.0,0.0,631,1.4747,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:03:47,1666497827120,-1306.87,0.0000,0.0000,NO DATA,'01000,25.00,0.00,0.00,0.00,0.00,0.00,21.885,1200.234,1964.383,764.149,0.3890,0.6367,153.38,0.2000,0.000,6.148,0.000,423,0.000,872,0.000,3722,0.0207,300000,0.000,0,0.000,0,0.000,0,0.000,0.413,753.93,311.17,0.161,20.00,0.000,600.00,3356.32,0.000,0.0,0.0,0.0,0.0,605,1.5037,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:04:02,1666497841889,-1270.69,0.0000,0.0000,NO DATA,'01000,50.00,0.00,0.00,0.00,0.00,0.00,14.149,1242.124,1987.045,744.921,0.3749,0.5997,155.20,0.2000,0.000,5.761,0.000,434,0.000,888,0.000,3399,0.0166,300000,0.000,0,0.000,0,0.000,0,0.000,0.435,744.87,324.19,0.158,20.00,0.000,600.00,2801.69,0.000,0.0,0.0,0.0,0.0,590,1.5206,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:04:14,1666497854556,-1266.76,0.0000,0.0000,NO DATA,'01000,50.00,0.00,0.00,0.00,0.00,0.00,18.074,1241.263,1991.582,750.319,0.3767,0.6045,155.17,0.2000,0.000,5.638,0.000,420,0.000,875,0.000,3438,0.0163,300000,0.000,0,0.000,0,0.000,0,0.000,0.436,761.03,331.63,0.161,20.00,0.000,600.00,3105.48,0.000,0.0,0.0,0.0,0.0,610,1.5515,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:04:27,1666497867252,-1267.13,0.0000,0.0000,NO DATA,'01000,50.00,0.00,0.00,0.00,0.00,0.00,14.130,1238.392,1981.522,743.130,0.3750,0.6001,155.70,0.2000,0.000,5.645,0.000,435,0.000,898,0.000,3667,0.0155,300000,0.000,0,0.000,0,0.000,0,0.000,0.437,745.32,325.37,0.154,20.00,0.000,600.00,2779.25,0.000,0.0,0.0,0.0,0.0,650,1.6025,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:04:42,1666497881976,-1201.79,0.0000,0.0000,NO DATA,'01000,100.00,0.00,0.00,0.00,0.00,0.00,16.150,1283.053,1992.451,709.398,0.3560,0.5529,155.80,0.2000,0.000,5.348,0.000,447,0.000,924,0.000,3720,0.0124,300000,0.000,0,0.000,0,0.000,0,0.000,0.480,737.10,353.98,0.153,20.00,0.000,600.00,3136.09,0.000,0.0,0.0,0.0,0.0,696,1.6740,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:04:54,1666497894656,-1203.34,0.0000,0.0000,NO DATA,'01000,100.00,0.00,0.00,0.00,0.00,0.00,11.654,1271.021,1980.327,709.306,0.3582,0.5581,155.94,0.2000,0.000,5.185,0.000,441,0.000,920,0.000,3602,0.0131,300000,0.000,0,0.000,0,0.000,0,0.000,0.480,753.22,361.90,0.153,20.00,0.000,600.00,2635.23,0.000,0.0,0.0,0.0,0.0,695,1.7110,11,mangrove_1,3,Cryptic
C:\LIFT\DATA\Chiara Oct 2022\11_data.csv,2022/10/23,15:05:07,1666497907303,-1204.37,0.0000,0.0000,NO DATA,'01000,100.00,0.00,0.00,0.00,0.00,0.00,17.942,1263.841,1976.081,712.240,0.3604,0.5636,156.44,0.2000,0.000,5.073,0.000,427,0.000,874,0.000,3447,0.0148,300000,0.000,0,0.000,0,0.000,0,0.000,0.480,778.51,373.85,0.155,20.00,0.000,600.00,3213.80,0.000,0.0,0.0,0.0,0.0,680,1.7074,11,mangrove_1,3,Cryptic
